Cement (kg/m^3),Flyash(kg/m^3),Water/powder,Sand(kg/m^3),Coarse Aggregate(kg/m^3),Superplasticizer,Compressive Strength (Mpa)
331.33,178.6,0.43,840,754.18,6.02,42
330.85,178.6,0.42,875.16,768.88,6.02,39.35
331.33,180.56,0.45,857.57,768.88,6.08,40.45
330.36,182.47,0.46,840,768.88,5.97,40
330.33,182.47,0.46,875.16,739.44,6.02,35.11
330.36,187.6,0.46,857.57,739.44,6.08,38.2
330.85,180.56,0.42,840,739.44,5.97,39.12
330.85,182.47,0.42,875.16,754.18,6.02,41.34
331.33,178.36,0.42,857.57,754.18,5.97,34.46
331.33,180.56,0.42,840,754.18,6.02,31.35
331.33,180.56,0.42,875.16,768.88,6.08,33.55
330.36,182.47,0.42,857.57,768.88,4.45,32.6
330.85,178.6,0.42,840,768.88,6.3,36.9
701,37,0.27,774,723,8.1,69.5
733,37,0.26,748,698,8.4,68.2
400,30,0.39,946,900,1.4,45
370,36,0.43,960,900,1.85,46
430,36,0.43,830,900,0.86,36
430,36,0.43,827,900,2.15,48
400,45,0.45,850,900,1.4,38
400,45,0.39,916,900,1.4,45
400,45,0.39,916,900,1.4,47
400,45,0.39,916,900,1.4,49
400,45,0.39,916,900,1.4,49
400,45,0.39,916,900,1.4,49
400,45,0.39,916,900,2.4,43
450,45,0.39,808,900,1.58,50
370,54,0.43,930,900,0.74,31
370,54,0.43,928,900,1.85,33
430,54,0.34,874,900,0.86,46
430,54,0.36,872,900,2.15,52
400,60,0.39,886,900,1.4,44
500,0,0.35,1038,639,6.75,62.2
500,30,0.34,1006,620,6.75,52.4
500,30,0.35,1008,621,6.75,57.3
500,40,0.35,995,613,6.75,59.1
500,40,0.32,1004,618,6.75,52.3
500,50,0.35,988,608,6.75,40.8
500,50,0.3,1010,628,6.75,47.5
500,60,0.35,979,603,6.75,38.1
500,60,0.3,997,614,6.75,39.9
550,0,0.44,826,868,3.5,61.5
550,0,0.32,728,935,8.43,80.9
550,20,0.44,813,855,3.2,52.1
550,20,0.44,714,917,7.43,69.8
550,40,0.32,801,842,2.96,44.7
550,40,0.44,700,899,7.43,60.9
550,60,0.32,788,829,3,30.3
550,60,0.44,686,881,6.67,47.5
450,30,0.32,789,926,2.77,44.8
500,30,0.44,731,862,6.15,53.6
550,30,0.32,711,835,4.74,57.3
450,40,0.43,780,917,2.77,41.3
500,40,0.39,724,850,6.15,46.7
550,40,0.35,701,823,6.77,54.9
450,50,0.43,770,907,2.5,37.1
500,50,0.39,714,836,4.92,41.8
550,50,0.35,703,824,5.41,44.4
550,15,0.41,910,590,10.73,35.2
550,20,0.41,910,590,11.01,33.2
550,25,0.42,910,590,9.91,31.5
550,30,0.43,910,590,9.91,30.7
550,35,0.44,910,590,9.91,29.6
550,0,0.33,869,778,8.8,75.9
550,15,0.33,865,762,8.8,74.2
550,25,0.33,887,752,8.8,73.4
550,35,0.33,878,742,8.8,67.5
550,15,0.41,910,590,9.9,26.5
550,15,0.41,910,590,10.17,36
550,15,0.41,910,590,10.45,29
550,15,0.41,910,590,10.72,35.5
550,20,0.41,910,590,6.6,24
550,20,0.41,910,590,7.15,27
550,2020,0.41,910,590,9.9,32
550,25,0.41,910,590,11,33.5
550,25,0.42,910,590,7,26
550,25,0.42,910,590,8.25,28
550,25,0.42,910,590,9.9,32
550,30,0.42,910,590,11,21.7
550,30,0.43,910,590,7.15,21
550,30,0.43,910,590,7.7,25.5
550,30,0.43,910,590,8.8,27.5
550,30,0.43,910,590,9.9,31
550,35,0.44,910,590,7.15,17
550,35,0.44,910,590,8.8,23
550,35,0.44,910,590,9.35,25
550,35,0.44,910,590,9.9,29.5
500,30,0.35,900,600,11,29.2
500,40,0.35,900,600,10.75,28.6
500,50,0.35,900,600,10.5,28.7
530,0,0.45,768,668,4.55,30
530,10,0.454,768,668,4.55,32.2
530,20,0.45,768,668,4.55,37.9
530,30,0.45,768,668,4.55,41.4
530,40,0.45,768,668,4.55,37.2
530,50,0.45,768,668,4.55,35.9
500,0,0.35,967,694,8,78.6
500,25,0.35,938,673,7.5,62
500,40,0.35,923,663,7.5,55
500,55,0.35,908,652,7.5,42.7
450,0,0.45,890,810,9.25,50
480,0,0.4,890,810,13.3,52
450,10,0.45,890,810,8.2,45
480,10,0.4,890,810,9.9,46
450,20,0.45,890,810,6.4,41
480,20,0.4,890,810,9.68,42
450,30,0.45,890,810,4.8,39
480,30,0.4,890,810,9.4,40
480,0,0.4,890,810,13.3,52
432,48,0.4,890,810,9.9,46
384,96,0.4,890,810,9.68,42
336,144,0.4,890,810,9.4,40
450,0,0.45,890,810,9.25,50
405,45,0.45,890,810,8.2,45
360,90,0.45,890,810,6.4,41
315,135,0.45,890,810,4.48,39
550,146,1.09,775,684,1.14,22.67
520,146,1.17,775,684,1.14,34.45
520,146,1.09,775,684,1.14,22.67
485,135,1.21,977,561,1.14,25.36
485,135,1.2,977,561,1.14,26.9
485,135,1.19,977,561,1.14,27.57
485,135,1.18,977,561,1.14,31.54
485,135,1.18,977,561,1.14,29.21
290,100,0.45,913,837,0.8,42.7
250,261,0.55,478,837,0.5,17
210,100,0.65,910,837,0.8,19.1
250,160,0.55,742,837,0.5,24.1
210,220,0.45,786,837,0.8,26.7
290,220,0.65,369,837,0.8,24
290,100,0.65,709,837,0.2,26.6
290,220,0.45,625,837,0.2,32.9
250,160,0.55,742,837,0.5,26
250,160,0.55,742,837,0.5,28.5
250,160,0.55,742,837,0.5,26.4
250,160,0.55,739,837,0,27.3
210,100,0.45,1066,837,0.2,54.3
317,160,0.55,594,837,0.5,29.1
250,29,0.55,1006,837,0.5,51.7
210,220,0.65,562,837,0.2,10.2
250,160,0.55,742,837,0.5,25.3
250,160,0.38,919,837,0.5,36.3
250,160,0.55,746,837,1,26.7
250,160,0.72,566,837,0.5,11
183,160,0.55,891,837,0.5,22.1
148,137,0.55,830,1002,0.11,17.95
393,0,0.49,758,940,0,39.58
325,60,0.65,900,850,0.12,31.4
374.3,0,0.51,730.4,1013.2,0.02,39.06
348,224,0.5,783,848,0.43,58.6
296,107,0.55,778,819,0.04,31.42
350,162,0.41,768,840,0.18,51.7
296,106.7,0.55,778.4,819.2,0.04,31.42
374,0,0.51,730,1013,0.02,39.05
148.1,136.6,0.56,830.1,1001.8,0.11,17.96
275,0,0.67,808,1088,0,24.5
231.75,121.62,0.49,778.45,1056.4,0.03,33.73
181.38,167.01,0.49,77.8,1055.6,0.04,27.77
194.68,100.52,0.56,905.9,1006.4,0.04,25.72
325,60,0.65,899,850,0.43,30.8
420,80,0.33,785,860,0.3,56
212.52,100.37,0.51,903.59,1007.8,0.04,31.64
290,100,0.33,913,837,0.01,42.7
333,0,0.58,842.6,931.2,0,31.97
250,160,0.55,742,837,0.5,28.5
339,0,0.58,781,968,0,32.04
207,207,0.45,845,843,0.4,33.2
252,0,0.73,784,1111,0,19.69
360,240,0.28,853,698,0.3,63.5
417,153,0.32,828,759,0.31,61.82
163,245,0.4,851,851,0.2,26.2
310,0,0.62,850,970,0,27.92
350,133,0.38,815,883,0.34,55.3
190.34,125.18,0.51,802.59,1088.1,0.05,28.47
427,115,0.36,779,844,0.26,59.4
475,0,0.48,594,932,0,39.29
164.6,150.4,0.58,728.9,1023.3,0.07,18.03
165,150,0.58,729,1023,0.07,18.03
318,126,0.47,737,861,0.02,40.06
317.9,126.5,0.47,736.6,860.5,0.02,40.06
280,96,0.87,817,850,0.62,15.9
540,0,0.32,613,1125,0,67.31
183,160,0.55,891,837,0.5,22.1
238.05,94.11,0.56,847.01,949.91,0.03,30.23
307,0,0.63,812,968,0,27.53
480,96,0.38,819,699,0.94,53
144.8,133.6,0.65,811.5,979.5,0.08,13.2
145,134,0.65,812,979,0.08,13.2
151.6,111.9,0.7,815.9,992,0.05,12.18
325,60,0.85,722,850,0.43,13.3
370,24,0.69,772,850,0.25,26.4
152,112,0.7,816,992,0.05,12.18
331,0,0.58,8252,978,0,31.45
252.5,0,0.47,784.3,1111.6,0,19.77
505,60,0.35,630,1030,0,64.02
134.7,165.7,0.6,804.9,961,0.07,13.29
325,60,0.65,899,850,0.43,32.6
135,166,0.6,805,961,0.07,13.29
475,0,0.34,662,1044,0.02,58.52
251.37,118.27,0.52,754.3,1043.6,0.02,33.27
166.09,163.27,0.54,780.09,1058.6,0.03,21.54
393,0,0.49,785.6,940.6,0,39.6
250,0,0.73,820,1100,0,20.87
210,100,0.65,910,837,0.8,19.1
190.68,125.4,0.51,804.01,1090,0.04,26.4
249,60,0.68,1079,850,0.43,24
4050,0,0.43,695,1120,0,52.3
528,0,0.35,720,920,0.01,56.83
250,160,0.55,739,837,0,27.3
273,90,0.55,762,931,0.04,32.24
297.16,117.54,0.42,753.45,1022.8,0.03,47.4
169,254,0.45,853,853,0,30.2
272.6,89.6,0.55,762.2,931.3,0.04,32.25
190.34,125.18,0.53,798.9,1079,0.05,24.85
310,0,0.62,830,1012,0,27.83
298,107,0.52,744,880,0.04,31.87
298.2,107,0.52,744.2,879.6,0.04,31.88
251.37,118.27,0.51,757.73,1028.4,0.03,32.66
247,165,0.45,845,846,0.12,34.6
400,0,0.47,745,1025,0,43.7
170,200,0.43,930,900,0.2,31
289,0,0.66,895.3,913.2,0,25.57
317,160,0.55,594,937,0.5,29.1
326,138,0.43,792,801,0.03,40.68
295,0,0.63,769,1069,0,25.18
520,0,0.33,855,855,0.01,60.28
225,275,0.35,908,652,0.7,41.42
222.36,96.67,0.59,870.32,967.08,0.02,24.89
165,143.57,0.53,900.9,1005.6,0,26.2
238,0,0.78,789,1119,0,17.54
238,0,0.78,789,1118,0,17.54
238.1,0,0.78,789.3,1118.8,0,17.58
238,159,0.4,844,844,0.29,37.8
522,0,0.28,896,896,0,74.99
148,182,0.55,884,839,0.1,15.52
290,100,0.65,709,837,0.2,26.6
148.1,182.1,0.55,844.6,838.9,0.1,15.53
154.8,142.8,0.65,696.7,1047.4,0.06,12.46
302,0,0.67,817,974,0,21.75
155,143,0.65,697,1047,0.06,12.46
280,120,0.39,946,900,0.35,45
255,0,0.75,945,889.8,0,18.75
250,160,0.55,746,837,1,26.7
400,60,0.63,718,850,0.43,30.4
322,0,0.63,800,974,0,25.18
250,160,0.55,742,837,0.5,26.4
220,180,0.45,850,900,0.35,38
350,90,0.48,852,923,0.14,46.5
290,100,0.45,913,837,0.8,42.7
213.74,174.74,0.4,776.35,1053.5,0.05,40.15
331,0,0.58,821,1025,0,31.74
427,115,0.45,779,844,0.12,59.4
295.8,0,0.63,769.3,1091.4,0,25.22
281,0,0.66,774,1104,0,22.44
281,0,0.66,774,1104,0,22.44
296,0,0.63,769,1090,0,25.18
325,60,0.65,898,850,0.43,34.3
250,160,0.55,742,837,0.5,26
275,275,0.37,796,937,0.74,63.32
300,0,0.61,795,1075,0,26.85
298.1,107,0.46,815.2,879,0.02,42.64
298,107,0.46,815,879,0.02,42.64
290,100,0.48,709,837,0,26.6
325,60,0.65,896,850,0.75,27.7
220,180,0.39,916,900,0.6,43
370,96,0.57,833,850,0.25,39.5
225,0,0.8,833,1113,0,17.34
200,200,0.4,842,843,0.17,34.9
143.6,174.9,0.5,844.5,942.7,0.12,15.42
250,95.69,0.54,861.17,956.86,0.02,29.22
144,175,0.5,844,943,0.13,15.42
322,138,0.35,693.81,1085.2,0,58
322.5,107.5,0.47,1135,630,0.01,43.98
325,60,0.65,898,850,0.43,35
250,160,0.55,742,837,0.5,25.3
212.07,121.62,0.54,779.32,1057.6,0.03,24.9
301,129,0.47,1135,630,0.01,44
325,0,0.57,783,1063,0,30.57
218.85,124.13,0.46,794.91,1078.7,0.05,30.22
325,60,0.65,899,850,0.43,35.3
370,96,0.57,830,850,0.62,38.8
170,200,0.43,928,900,0.5,33
330,220,0.32,700,899,0.69,60.9
375,0,0.5,758,1038,0,38.21
275,250,0.35,775,840,0.2,54.5
399,100,0.35,814,882,0.15,55
339,0,0.55,754,1060,0,31.65
233.81,94.58,0.6,852.16,947.04,0.02,22.84
326.5,137.9,0.43,792.5,801.1,0.03,38.63
210,220,0.45,768,837,0.8,26.7
277,0,0.69,856,968,0,25.97
350,0,0.53,770,1050,0,34.29
339.2,0,0.55,754.3,1069.2,0,31.9
339,0,0.55,754,1069,0,31.84
220,180,0.39,916,900,0.1,44
280,96,0.87,820,850,0.25,19.6
350,150,0.35,900,600,1,37.18
229.68,118.16,0.56,757.63,1028.1,0.03,24.54
237,133,0.36,1034,900,0.2,49
258,172,0.47,1135,630,0.01,43.18
150.9,183.9,0.5,772.63,991.2,0.08,15.57
295.71,95.64,0.44,859.2,955.14,0.03,39.94
151,184,0.5,772,991,0.08,15.57
300,300,0.28,787,720,0.33,52.7
220,330,0.32,686,881,0.62,47.5
250,95.69,0.55,857.2,948.9,0.02,27.22
275,155,0.43,827,900,0.5,48
277.05,97.39,0.43,857.61,973.9,0.04,48.28
229.97,118.31,0.56,758.59,1029.4,0.02,24.48
165,385,0.34,656,834,1,34.9
145,179,0.62,869,824,0.06,10.54
327,173,0.35,902,803,0.41,61.6
279.5,150.5,0.47,1135,630,0.01,44.34
145.4,178.9,0.62,868.7,824,0.05,10.54
83,468,0.41,624,794,1,14.64
325,325,0.34,611,777,1.18,50.07
376,0,0.57,762.36,1003.5,0,31.97
251.37,118.27,0.51,757.73,1028.4,0.02,29.65
250,160,0.55,742,837,0.5,24.1
250,160,0.38,919,837,0.5,36.3
290,220,0.45,625,837,0.2,32.9
296,0,0.65,765,1085,0,21.65
428,257,0.27,788,736,0.02,74.5
250,257,0.38,787,853,0.23,51.5
350,0,0.58,775,974,0,27.34
200,0,0.9,845,1125,0,12.25
183,160,0.29,891,837,0.01,22.1
220,180,0.39,916,900,0.35,45
212,124.78,0.47,799.54,1085.4,0.04,38.5
250,160,0.34,742,837,0.01,28.5
